tot_credit_debt,avg_card_debt,credit_age,credit_good_age,card_age,non_mtg_acc_past_due_12_months_num,non_mtg_acc_past_due_6_months_num,mortgages_past_due_6_months_num,credit_past_due_amount,inq_12_month_num,card_inq_24_month_num,card_open_36_month_num,auto_open_36_month_num,uti_card,uti_50plus_pct,uti_max_credit_line,uti_card_50plus_pct,ind_acc_XYZ,rep_income,Default_ind,goodbad,class_pred_fair,class_pred_orig,States
40477.81,7766.64,322,181,235,0,0,0,0,2,4,0,1,0.588300857,0.711886654,0.538456185,0.633698731,0,26000,0,Good,1,1,FL
106760.98,16606.98,323,144,273,0,0,0,0,2,4,0,0,0.707798748,0.739731954,0.562194338,0.74690136,1,47000,0,Good,1,1,AL
121428.34,13910.13,361,189,350,0,0,0,0,0,1,0,0,0.479710816,0.434104155,0.374705179,0.458438249,0,71000,0,Good,0,0,MS
96515.05,15436.78,344,203,343,0,0,0,0,0,0,0,0,0.443709569,0.474768107,0.37202814,0.582352474,1,68000,0,Good,0,0,AL
123760.22,14213.25,370,177,347,0,0,0,0,0,0,0,0,0.57100383,0.472634403,0.605136895,0.577697147,0,76000,0,Good,0,0,GA
81426.78,12399.35,317,183,311,1,0,0,0,0,0,0,0,0.57348147,0.6909022,0.657316645,0.617514916,0,47000,0,Good,1,0,GA
91861.31,12249.89,266,144,245,0,0,0,0,3,6,0,0,0.460026676,0.394459067,0.48292451,0.543151282,0,98000,0,Good,0,0,AL
99070.57,16550.04,298,143,287,0,0,0,0,2,5,0,0,0.454683671,0.623414854,0.467476967,0.527931086,1,70000,0,Good,0,0,LA
79349.9,8431.69,277,168,247,0,0,0,0,0,0,0,0,0.402436566,0.42984123,0.464951352,0.421336771,0,90000,0,Good,0,0,AL
85617.34,13387.71,312,137,250,0,0,0,0,3,4,0,1,0.471691249,0.418533386,0.496722666,0.580886507,0,56000,0,Good,0,0,SC
69548.68,10496.02,248,105,217,0,0,0,0,0,2,0,0,0.415455108,0.461972732,0.548100267,0.391809389,0,77000,0,Good,0,0,AL
62911.96,8927.69,307,156,257,0,0,0,0,6,11,0,0,0.386056688,0.581497361,0.472213206,0.482589074,0,51000,0,Good,0,0,AL
92920.26,16482.41,276,157,261,0,0,0,0,0,0,0,0,0.476160547,0.391710977,0.51725128,0.578692519,0,91000,0,Good,0,0,SC
128795.1,16657.13,262,147,259,0,0,0,0,0,3,0,1,0.433959097,0.432376576,0.51759669,0.428776828,1,84000,0,Good,0,0,AL
83552.8,13142.2,359,151,302,0,0,0,0,4,10,0,1,0.4404359,0.604176226,0.572405083,0.442575389,1,63000,0,Good,0,0,LA
106029.96,11983.99,318,146,306,0,0,0,0,4,6,0,0,0.428227953,0.307092059,0.623725397,0.471977207,0,90000,0,Good,0,0,MS
147691.66,17846.42,404,187,331,0,0,0,0,5,5,0,0,0.401775939,0.433501343,0.496029995,0.494200352,0,83000,0,Good,0,0,AL
80998.43,13174.32,195,117,178,0,0,0,0,4,4,0,0,0.586906321,0.698709853,0.541691853,0.568402982,0,77000,0,Good,0,0,FL
98628.83,14334.62,260,165,213,0,0,0,0,4,7,0,0,0.399111837,0.487311159,0.239181487,0.436622072,1,72000,0,Good,0,0,SC
51078.03,7003.67,274,139,268,0,0,0,0,3,7,0,0,0.441319128,0.479473501,0.530575101,0.413299247,0,83000,0,Good,1,1,AL
87942.13,16587.7,242,126,221,0,0,0,0,2,5,0,0,0.603458061,0.687590648,0.56786513,0.593345706,0,58000,0,Good,1,1,LA
85520.12,12009.4,255,113,249,0,0,0,0,1,0,0,0,0.523047326,0.465140618,0.416964659,0.474925744,0,69000,0,Good,0,0,NC
88621.47,15796.57,321,156,311,0,0,0,0,1,0,0,0,0.415699023,0.468714947,0.368984743,0.407254985,1,71000,0,Good,0,0,LA
112142.03,12463.57,299,156,289,0,0,0,0,1,0,1,0,0.496508995,0.562075972,0.565080827,0.490074487,0,77000,0,Good,0,0,SC
54318.34,11036.02,351,181,327,0,0,0,0,1,3,0,0,0.45230735,0.365395494,0.428883483,0.547059358,1,40000,0,Good,0,0,FL
112724.74,16958.97,191,115,147,0,0,0,0,0,1,0,1,0.495101895,0.662014643,0.453082244,0.518120292,1,73000,0,Good,0,0,SC
77291.14,14216.23,234,142,188,0,0,0,0,2,4,0,0,0.500750733,0.463256343,0.47913728,0.548989315,0,91000,0,Good,0,0,LA
101821.18,17645.86,201,118,201,0,0,0,0,5,8,1,0,0.496505129,0.50184713,0.404794252,0.272699379,0,103000,0,Good,1,1,GA
81629.98,10754.32,224,120,206,0,0,0,0,1,1,0,0,0.538793208,0.582656946,0.482142409,0.490074487,1,57000,0,Good,0,0,AL
