tot_credit_debt,avg_card_debt,credit_age,credit_good_age,card_age,non_mtg_acc_past_due_12_months_num,non_mtg_acc_past_due_6_months_num,mortgages_past_due_6_months_num,credit_past_due_amount,inq_12_month_num,card_inq_24_month_num,card_open_36_month_num,auto_open_36_month_num,uti_card,uti_50plus_pct,uti_max_credit_line,uti_card_50plus_pct,ind_acc_XYZ,rep_income,Default_ind,goodbad,isNaN_rep_income,isNaN_uti_card_50plus_pct,isOld,State_AL,State_FL,State_GA,State_LA,State_MS,State_NC,State_SC
94200.63,13422.35,231,125,177,0,0,0,0,5,8,0,0,0.620634255,0.580046139,0.600611636,0.608510662,0,75000,1,Bad,1,0,0,0,1,0,0,0,0,0
109306.7,16785.34,199,113,190,0,0,0,0,2,5,0,0,0.683744828,0.573505018,0.485609847,0.66632149,0,53000,1,Bad,0,0,0,0,0,0,1,0,0,0
141843.86,17233.89,305,137,267,0,0,0,0,3,4,0,0,0.49377895,0.306310583,0.485531566,0.502478356,0,99000,0,Good,0,0,1,0,0,0,0,0,1,0
97566.72,14203.96,285,144,270,0,0,0,0,1,2,0,1,0.468342825,0.46398377,0.462175179,0.490074487,0,83000,0,Good,0,1,0,0,0,0,0,0,1,0
98196.51,13262.94,328,159,261,0,0,0,0,0,4,0,0,0.502969161,0.589596508,0.568142552,0.440602895,0,77000,0,Good,0,0,1,0,0,0,0,0,1,0
93485.63,11140.61,300,179,281,0,0,0,0,2,4,0,0,0.700932636,0.809069573,0.784591288,0.821315714,0,78000,0,Good,0,0,1,0,0,1,0,0,0,0
105855.86,14580.56,351,184,346,0,0,0,0,0,0,1,1,0.348021029,0.337226962,0.330917473,0.316565319,1,80000,0,Good,0,0,1,0,0,0,0,0,0,1
96470.95,12391.42,258,131,248,0,0,0,0,1,1,0,1,0.590689157,0.727227891,0.617021565,0.753288606,0,56000,0,Good,0,0,0,1,0,0,0,0,0,0
97194.25,15005.34,281,137,272,0,0,0,0,1,3,0,0,0.436859221,0.521241541,0.35735414,0.480887038,0,81000,1,Bad,0,0,0,1,0,0,0,0,0,0
92901.75,13434.72,324,163,271,0,0,0,0,0,1,0,0,0.56549758,0.569554351,0.476955163,0.490074487,0,73000,1,Bad,0,1,1,0,1,0,0,0,0,0
89366.79,17310.23,289,159,271,0,0,0,0,0,0,0,0,0.577501716,0.541099994,0.490989985,0.576481973,1,58000,0,Good,0,0,0,0,0,0,0,1,0,0
113623.93,19302.4,284,153,265,0,0,0,0,2,6,1,0,0.635614098,0.603995248,0.588334882,0.577117244,1,80000,1,Bad,0,0,0,0,0,0,0,1,0,0
81775.36,9987.65,364,216,346,0,0,0,0,6,12,0,0,0.334804016,0.423701647,0.269569376,0.294416349,0,55000,1,Bad,0,0,1,0,0,0,0,1,0,0
65619.89,9048.42,416,191,386,0,0,0,0,2,4,0,1,0.338171328,0.379924029,0.328184689,0.346242696,0,75000,0,Good,0,0,1,0,0,0,0,0,0,1
61573.1,6911.62,190,115,177,0,0,0,0,2,0,0,0,0.551029585,0.395019892,0.699328639,0.579452158,0,82000,1,Bad,0,0,0,0,0,0,0,1,0,0
109979.66,14597.11,245,149,229,2,0,1,5570.53,3,2,1,1,0.301919126,0.387362717,0.370514442,0.197194396,1,54000,1,Bad,0,0,0,0,1,0,0,0,0,0
123035.2,12929.01,431,210,358,0,0,0,0,0,0,0,0,0.410448409,0.463646459,0.543397038,0.325248565,1,54000,0,Good,0,0,1,0,1,0,0,0,0,0
79864.54,13131.6,215,99,209,0,0,0,0,5,9,0,0,0.698141988,0.647230311,0.693857432,0.649630864,1,83000,1,Bad,0,0,0,0,1,0,0,0,0,0
