tot_credit_debt,avg_card_debt,credit_age,credit_good_age,card_age,non_mtg_acc_past_due_12_months_num,non_mtg_acc_past_due_6_months_num,mortgages_past_due_6_months_num,credit_past_due_amount,inq_12_month_num,card_inq_24_month_num,card_open_36_month_num,auto_open_ 36_month_num,uti_card,uti_50plus_pct,uti_max_credit_line,uti_card_50plus_pct,ind_acc_XYZ,rep_income,States,Default_ind,goodbad
80826.71,15872.99,300,114,292,0,0,0,0,3,4,0,0,0.36590185,0.475594223,0.410503878,,0,69000,AL,0,Good
96052.6,12178.02,281,102,232,0,0,0,0,2,4,1,0,0.542786155,0.543158288,0.535147432,0.587350572,0,61000,FL,0,Good
75212.76,12052.24,261,149,260,0,0,0,0,1,3,0,1,0.323677775,0.321775666,0.348713364,0.413293049,0,,AL,0,Good
70727.84,8416.8,227,93,223,2,1,1,11013.96,0,1,1,0,0.448720646,0.422809452,0.491364523,0.466810039,0,79000,SC,1,Bad
41604.47,10611.97,249,136,241,0,0,0,0,0,2,0,0,0.644029884,0.619987024,0.546654641,0.588441945,1,,LA,0,Good
89198.22,15193.09,319,147,279,0,0,0,0,2,3,1,0,0.183918103,0.309341082,0.254743667,0.193059888,0,76000,LA,0,Good
108936.89,14262.34,271,100,247,2,1,1,6087.16,0,4,0,0,0.488144506,0.448082282,0.41438281,0.480357348,0,68000,AL,1,Bad
84868.71,10636.64,296,142,266,0,0,0,0,2,6,0,0,0.361516098,0.434964191,0.436918151,0.335262154,1,74000,AL,0,Good
108476.1,14219.19,266,142,244,0,0,0,0,1,1,1,0,0.494821818,0.518860912,0.444081746,0.376632929,1,86000,GA,0,Good
61573.08,8281.7,348,160,293,0,0,0,0,2,3,0,0,0.69982743,0.525532565,0.665071486,,0,59000,SC,0,Good
71208.55,9976.43,339,157,329,0,0,0,0,2,2,0,0,0.509708917,0.572115935,0.54431318,0.555487862,0,91000,LA,0,Good
50683.58,9893.18,276,168,260,0,0,0,0,4,8,1,0,0.425228201,0.445603799,0.442457132,0.465528008,1,64000,FL,0,Good
64680.93,11596.96,346,157,288,2,1,1,2997.77,0,1,0,0,0.660946327,0.600266573,0.697586122,0.639849834,0,94000,AL,0,Good
75920.98,10777.89,188,118,171,0,0,0,0,0,2,0,1,0.397701282,0.428995734,0.539855625,0.377676218,0,52000,FL,0,Good
98886.02,13283.52,398,227,364,0,0,0,0,0,0,0,0,0.441373122,0.498637402,0.342526536,0.492520424,0,77000,AL,0,Good
59794.42,10215.31,243,103,225,0,0,0,0,2,4,0,0,0.419952302,0.469991237,0.395189231,,0,73000,FL,0,Good
134932.62,13765.9,282,135,252,0,0,0,0,3,2,1,0,0.333719616,0.35266515,0.412229935,0.423572219,1,69000,GA,0,Good
104616.32,16476.1,365,158,362,0,0,0,0,2,4,0,0,0.34517612,0.457872156,0.321713794,0.312725867,0,107000,MS,0,Good
63255.47,8693.81,256,153,243,0,0,0,0,3,3,1,0,0.634492296,0.63077938,0.620300494,0.568004728,0,88000,SC,0,Good
78976.05,11990.29,353,148,310,0,0,0,0,0,2,0,1,0.507398399,0.518829515,0.651793957,0.486839958,0,73000,NC,0,Good
84375.6,11661.71,271,132,243,0,0,0,0,4,7,0,0,0.508126298,0.487838738,0.567657119,0.424666957,1,86000,FL,0,Good
119500.77,18472.18,236,168,214,0,0,0,0,0,2,0,0,0.56091353,0.515028194,0.580689102,0.532046521,1,65000,MS,0,Good
55305.34,10686.08,254,144,235,0,0,0,0,0,3,0,0,0.684641738,0.623633506,0.616591863,0.617921539,0,72000,SC,0,Good
88038.82,12298.26,237,91,236,0,0,0,0,0,1,0,0,0.516233828,0.419325915,0.440512721,0.493029523,0,77000,GA,0,Good
73403.54,8454,304,159,245,0,0,0,0,0,4,0,0,0.672125535,0.619841187,0.539097451,0.737299531,1,73000,SC,1,Bad
100057.28,12492.69,270,118,269,2,0,1,6518.46,2,3,1,0,0.67466269,0.724647122,0.727901472,0.655047963,0,102000,LA,1,Bad
108027.3,14318.04,183,120,172,0,0,0,0,1,2,0,0,0.498039223,0.54367963,0.586793089,0.428861841,0,90000,LA,0,Good
88024.69,13723.45,245,157,240,0,0,0,0,0,0,0,0,0.612025376,0.480762986,0.519759183,0.624822651,0,99000,AL,0,Good
76313.41,12878.03,313,134,312,0,0,0,0,0,0,0,0,0.31252711,0.37856412,0.492405907,0.347661648,0,69000,FL,0,Good
114250.46,14996.75,276,130,273,0,0,0,0,5,9,0,0,0.682538289,0.624624984,0.681113889,0.717533743,0,66000,MS,0,Good
73852,9702.32,258,127,245,0,0,0,0,2,2,0,0,0.629045386,0.532675236,0.608722116,0.724161045,1,105000,LA,0,Good
109657.86,16254.71,287,160,283,0,0,0,0,4,8,1,0,0.444424895,0.460385472,0.333129146,,0,84000,MS,0,Good
121902.49,18541.04,283,147,256,0,0,0,0,1,2,0,0,0.465810667,0.617033842,0.413823996,0.421016709,1,59000,AL,0,Good
102378.28,16393.97,288,162,288,0,0,0,0,0,1,0,0,0.591391144,0.662799288,0.447768937,,1,,NC,0,Good
73917.26,10889.24,224,109,215,0,0,0,0,0,0,0,0,0.391712036,0.567969474,0.425431318,0.34778002,0,91000,FL,0,Good
102797.32,15883.31,228,77,178,0,0,0,0,2,5,0,0,0.686393407,0.60854958,0.506035158,0.693354211,0,88000,GA,0,Good
84927.84,14765.73,295,137,244,0,0,0,0,3,7,0,0,0.40700783,0.422952342,0.35830586,0.441423065,0,93000,MS,1,Bad
127729.49,15793.63,444,208,402,0,0,0,0,0,1,0,1,0.491272967,0.323092616,0.58856833,0.540799981,1,76000,AL,0,Good
118944.76,14108.57,183,89,181,0,0,0,0,3,6,0,0,0.637292164,0.66801025,0.751552314,0.544057431,0,90000,AL,0,Good
55100.25,9477.15,353,200,322,0,0,0,0,1,4,0,0,0.328628293,0.404333658,0.318794483,,0,,FL,0,Good
91272.46,14387.17,385,168,337,0,0,0,0,3,4,0,0,0.68205442,0.454385928,0.691429492,0.650996235,0,80000,SC,0,Good
116103.42,15152.05,391,227,327,0,0,0,0,3,4,0,0,0.539937002,0.640780938,0.587151324,0.553674576,1,85000,NC,0,Good
91278.52,13476.59,298,124,278,0,0,0,0,0,0,0,0,0.356942173,0.332617487,0.397679562,0.370429443,0,60000,NC,0,Good
117905.13,16105.72,308,173,256,0,0,0,0,0,0,0,1,0.412841425,0.452001175,0.456070055,0.346095307,0,91000,GA,0,Good
135001.22,14302.23,354,252,278,0,0,0,0,4,4,0,0,0.405573995,0.452897239,0.359757342,,0,69000,FL,0,Good
48364.8,10711.58,336,166,302,0,0,0,0,3,6,0,0,0.604215943,0.721080962,0.735528136,0.684292148,0,,FL,0,Good
127211.39,18473.29,285,135,271,0,0,0,0,6,8,0,0,0.574995406,0.562588173,0.635787288,0.493725997,0,88000,NC,0,Good
112557.62,17673.27,217,97,199,0,0,0,0,0,0,1,1,0.746168321,0.650633922,0.684480554,,0,92000,AL,0,Good
